,,,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Ray Acosta,NBA,65,176.9,45.0,39.4,222.7,+0.7,+1.3,+0.1,+1.5,.446,88.5,22.8,19.6,110.8,.554,88.4,22.1,19.8,111.9,-.108,+0.1,+0.7,-0.2,-1.1,-.201,0.0,+0.6,-0.2,-2.9
Brandon Adair,NBA,59,176.6,41.9,37.7,219.5,+0.4,-1.8,-1.6,-1.7,.593,87.0,22.0,18.3,110.5,.407,89.6,19.9,19.4,109.0,+.186,-2.6,+2.1,-1.0,+1.6,+.093,-2.7,+2.0,-1.0,-0.2
Bennie Adams,NBA,46,174.3,41.9,39.0,218.0,-1.9,-1.8,-0.3,-3.2,.587,86.8,20.8,19.5,110.5,.413,87.4,21.1,19.4,107.5,+.174,-0.6,-0.3,+0.1,+3.0,+.081,-0.7,-0.4,+0.1,+1.2
Brent Barnaky,NBA,64,178.9,41.8,37.6,220.8,+2.7,-1.9,-1.7,-0.4,.469,90.0,20.5,19.6,111.0,.531,88.9,21.3,18.0,109.8,-.063,+1.1,-0.8,+1.5,+1.2,-.156,+1.0,-0.9,+1.5,-0.6
Curtis Blair,NBA,61,176.2,41.2,38.7,217.5,0.0,-2.5,-0.6,-3.7,.574,88.2,20.8,19.1,109.8,.426,88.0,20.4,19.6,107.7,+.148,+0.1,+0.4,-0.5,+2.1,+.055,0.0,+0.3,-0.5,+0.3
Matt Boland,NBA,55,179.2,40.6,38.7,218.3,+3.0,-3.1,-0.6,-2.9,.509,90.1,19.9,19.7,109.9,.491,89.2,20.8,19.0,108.4,+.018,+0.9,-0.9,+0.7,+1.4,-.075,+0.8,-1.0,+0.7,-0.4
Tony Brothers,NBA,60,174.8,46.2,40.6,222.2,-1.4,+2.5,+1.3,+1.0,.550,87.9,23.5,20.2,112.1,.450,86.9,22.7,20.5,110.1,+.100,+1.0,+0.9,-0.3,+2.0,+.007,+0.9,+0.8,-0.3,+0.2
Nick Buchert,NBA,64,176.3,41.9,37.5,217.9,+0.1,-1.8,-1.8,-3.3,.547,87.4,20.5,18.8,109.4,.453,88.9,21.3,18.7,108.5,+.094,-1.5,-0.8,+0.1,+0.8,+.001,-1.6,-0.9,+0.1,-1.0
John Butler,NBA,45,176.9,45.0,39.7,222.0,+0.7,+1.3,+0.4,+0.8,.511,87.7,22.3,20.0,110.6,.489,89.2,22.7,19.6,111.4,+.022,-1.5,-0.4,+0.4,-0.8,-.071,-1.6,-0.5,+0.4,-2.6
James Capers Jr.,NBA,50,177.7,44.4,39.7,219.1,+1.5,+0.7,+0.4,-2.1,.660,88.8,22.2,20.0,112.4,.340,88.9,22.3,19.7,106.6,+.320,-0.2,-0.1,+0.3,+5.8,+.227,-0.3,-0.2,+0.3,+4.0
Derrick Collins,NBA,58,177.1,41.9,38.8,222.4,+0.9,-1.8,-0.5,+1.2,.552,88.4,20.9,19.5,112.1,.448,88.7,21.1,19.3,110.2,+.103,-0.3,-0.2,+0.2,+1.9,+.010,-0.4,-0.3,+0.2,+0.1
John Conley,NBA,29,178.2,42.0,39.3,220.6,+2.0,-1.7,0.0,-0.6,.621,91.2,20.0,20.3,112.5,.379,87.0,22.0,19.0,108.1,+.241,+4.2,-2.0,+1.3,+4.4,+.148,+4.1,-2.1,+1.3,+2.6
